authors,author_sort,comments,cover,timestamp,#formats,formats,isbn,identifiers,languages,#lecteur,library_name,rating,pubdate,series,series_index,size,title,title_sort,id,uuid,publisher,tags
"Assimil","Assimil","","\\quirinalis\Bagarre\Bouquins\Bibliotheque\Assimil\Le Chinois sans peine vol.1 (8772)\cover.jpg","2013-01-17T17:26:14+01:00","PDF, RAR","pdf, rar","","","fra","","Bibliotheque","","0101-01-01T01:00:00+01:00","","1.0","196814287","Le Chinois sans peine vol.1","Chinois sans peine vol.1, Le","8772","15686c40-9fc1-4da6-a24b-9d7604d451cd","","langue vivante, langue officielle, Asie, Langue:chinois, Langues"
"Assimil","Assimil","","\\quirinalis\Bagarre\Bouquins\Bibliotheque\Assimil\Le Chinois sans peine vol.2 (8773)\cover.jpg","2013-01-17T17:26:18+01:00","PDF","pdf","","","fra","","Bibliotheque","","0101-01-01T01:00:00+01:00","","1.0","8021830","Le Chinois sans peine vol.2","Chinois sans peine vol.2, Le","8773","e41a7564-c590-46a5-9a1c-b21e1197d28c","","langue vivante, langue officielle, Asie, Langue:chinois, Langues"
"Louis-Nicolas Bescherelle","Bescherelle, Louis-Nicolas","Plus question de vous fâcher avec les verbes lorsque vous êtes au beau milieu d'une lettre ou d'un rapport urgent : ce petit ""dictionnaire"" rouge de référence regroupe tous les verbes de la langue française (soit 12 000 verbes au dernier recensement), tous indexés et renvoyant aux 88 tableaux de verbes modèles accompagnés de leurs règles d'accord et d'emploi. Outil de référence qui a fait ses preuves, garant d'une conjugaison juste. Vous y trouverez également, dans une deuxième partie, les principales notions grammaticales directement liées à la conjugaison des verbes : morphologie, syntaxe et surtout, valeurs du verbe permettant de relier la forme au sens et ainsi mieux comprendre et maîtriser les aspects plus complexes de la conjugaison française. Cette édition intègre également les verbes nés des dernières décennies ainsi qu'un certain nombre de verbes employés couramment dans les pays francophones. Dans la même série : *L'Orthographe pour tous* et *La Grammaire pour tous*. *--Elisabeth Brikke*
","\\quirinalis\Bagarre\Bouquins\Bibliotheque\Louis-Nicolas Bescherelle\La Conjugaison Pour Tous (8774)\cover.jpg","2013-01-15T13:10:02+01:00","PDF","pdf","9782218717161","goodreads:558624,isbn:9782218717161","fra","","Bibliotheque","4","1990-01-01T00:00:00+01:00","","1.0","37908138","La Conjugaison Pour Tous","Conjugaison Pour Tous, La","8774","62577b2e-24b1-4ec3-9fd9-eb1cd6458d30","Hatier","Europe, grammaire, langue vivante, Langue:français, Pays:France, langue officielle, Langues"
"Martin Joel","Joel, Martin","","\\quirinalis\Bagarre\Bouquins\Bibliotheque\Martin Joel\La contrepetrie (8775)\cover.jpg","2015-05-08T11:07:31+02:00","EPUB","epub","","","fra","","Bibliotheque","","2014-11-08T00:00:00+01:00","","1.0","143562","La contrepetrie","contrepetrie, La","8775","8a374057-7322-4a68-807e-2691626ca88a","","Langues, Langue:français"
"Assimil","Assimil","","\\quirinalis\Bagarre\Bouquins\Bibliotheque\Assimil\Le Coreen sans peine (8776)\cover.jpg","2013-01-17T14:47:33+01:00","PDF, RAR","pdf, rar","","","fra","","Bibliotheque","","0101-01-01T01:00:00+01:00","","1.0","101426655","Le Coréen sans peine","Coréen sans peine, Le","8776","4f9199c9-f92f-494c-b73e-d7773a04e03f","","langue officielle, Asie, langue vivante, Langue:coréen, Langues"
"Seung Ja Shim","Shim, Seung Ja","","\\quirinalis\Bagarre\Bouquins\Bibliotheque\Seung Ja Shim\Le coreen tout de suite (8777)\cover.jpg","2013-07-29T17:42:49+02:00","PDF","pdf","9782266228411","amazon_fr:2266228412,isbn:9782266228411","fra","","Bibliotheque","3","0101-01-01T01:00:00+01:00","","1.0","24971859","Le coréen tout de suite","coréen tout de suite, Le","8777","083a474b-6bdb-4972-88a7-3b850ad8918c","Pocket","Langues, Langue:coréen"
"Assimil","Assimil","","\\quirinalis\Bagarre\Bouquins\Bibliotheque\Assimil\Le Corse sans peine (8778)\cover.jpg","2013-01-17T14:28:38+01:00","PDF, RAR","pdf, rar","","","fra","","Bibliotheque","","0101-01-01T01:00:00+01:00","","1.0","81535638","Le Corse sans peine","Corse sans peine, Le","8778","6e64c889-b80c-4426-b372-bd8b68201860","","Langue:corse, langue vivante, Pays:France, dialecte, Langues"
"Assimil","Assimil","","\\quirinalis\Bagarre\Bouquins\Bibliotheque\Assimil\Le Danois sans peine (8779)\cover.jpg","2013-01-17T14:29:25+01:00","PDF, RAR","pdf, rar","","","fra","","Bibliotheque","","0101-01-01T01:00:00+01:00","","1.0","152812522","Le Danois sans peine","Danois sans peine, Le","8779","aa40397c-c124-43f4-ba84-d596da0d6ca5","","Europe, langue officielle, Langue:danois, langue vivante, Langues"
"Hamid Oubagha","Oubagha, Hamid","","\\quirinalis\Bagarre\Bouquins\Bibliotheque\Hamid Oubagha\Dans le cadre des ateliers d'initia (8780)\cover.jpg","2013-04-22T22:16:48+02:00","PDF","pdf","","","fra","","Bibliotheque","","0101-01-01T01:00:00+01:00","","1.0","4879273","Dans le cadre des ateliers d'initiation à l'écriture et à la lecture en tamazight, l'association culturelle vous propose la démarche suivante qui tient compte des contraintes de temps et de moyens et vous suggère un contenu pédagogique à cette activité","Dans le cadre des ateliers d'initiation à l'écriture et à la lecture en tamazight, l'association culturelle vous propose la démarche suivante qui tient compte des contraintes de temps et de moyens et vous suggère un contenu pédagogique à cette activité","8780","096d47e6-59fa-491d-be06-87a9091ce701","","Langues"
"France. MinistÃ¨re de la guerre, Pierre-AmÃ©dÃ©e Jaubert [chevalier]","France. MinistÃ¨re de la guerre, Pierre-AmÃ©dÃ©e Jaubert [chevalier]","","\\quirinalis\Bagarre\Bouquins\Bibliotheque\France. MinistA re de la guerre, Pi\Dictionnaire franASSais-berbA re (8781)\cover.jpg","2013-04-22T22:18:25+02:00","PDF","pdf","","","fra","","Bibliotheque","","0101-01-01T01:00:00+01:00","","1.0","10042759","Dictionnaire franÃ§ais-berbÃ¨re","Dictionnaire franÃ§ais-berbÃ¨re","8781","9e4e571a-e171-462a-9016-3459b36e9214","","Langues"
"SaÃ¯d Cid Kaoui","Kaoui, SaÃ¯d Cid","","\\quirinalis\Bagarre\Bouquins\Bibliotheque\SaA d Cid Kaoui\dictionnaire francais berbere (8782)\cover.jpg","2013-04-22T22:18:30+02:00","PDF","pdf","","","fra","","Bibliotheque","","0101-01-01T01:00:00+01:00","","1.0","13920132","dictionnaire francais berbere","dictionnaire francais berbere","8782","cbe67b42-5033-4d3c-895b-53db2ebca45e","","Langue:amazighe, Langues"
"Jacques Rongier","Rongier, Jacques","","\\quirinalis\Bagarre\Bouquins\Bibliotheque\Jacques Rongier\Dictionnaire francais-ewe, suivi d' (8783)\cover.jpg","2012-08-10T10:56:55+02:00","PDF","pdf","9782865375677","amazon_fr:2865375676,isbn:9782865375677","fra","","Bibliotheque","5","1995-03-02T00:00:00+01:00","","1.0","57344788","Dictionnaire français-éwé, suivi d'un index éwé-français","Dictionnaire français-éwé, suivi d'un index éwé-français","8783","14c3ed38-6a47-4fbe-b619-57c7c1b1abd9","Karthala","Langues"
"Assimil","Assimil","","\\quirinalis\Bagarre\Bouquins\Bibliotheque\Assimil\L'Ecriture chinoise (8784)\cover.jpg","2013-01-17T17:26:22+01:00","PDF","pdf","","","fra","","Bibliotheque","","0101-01-01T01:00:00+01:00","","1.0","3865611","L'Ecriture chinoise","Ecriture chinoise, L'","8784","6f38681b-176e-4ac4-b229-14e3e26ce8c6","","langue vivante, langue officielle, Asie, Langue:chinois, Langues"
